uni_cod,facolta,materia_ssd_cod,materia_nome,insegnamento_prof,insegnamento_prof_www,prof_id,insegnamento_id,email,indirizzo,citta,telefono,note,isbn,titolo,data
polimi,,BIO/03,LANDSCAPE PLANNING,Guidi Nissim Werther,https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=996815&aa=2024&lang=IT&jaf_currentWFID=main,89443,965691,,,,,,,,
uniss,,BIO/03,BOTANICA APPLICATA ALLE SCIENZE FORENSI,Rivieccio Giovanni,https://uniss.coursecatalogue.cineca.it/docente/5410/2023,89538,935602,,,,,,,,
unica,,BIO/03,EDUCAZIONE AMBIENTALE E DIDATTICA DELLE SCIENZE NATURALI,Caddeo Alessandra,https://unica.coursecatalogue.cineca.it/docente/50363/2024,89972,1068343,,,,,,,,
univaq,,BIO/03,LABORATORIO DI EDUCAZIONE AMBIENTALE,Ancilli Stefano,https://univaq.coursecatalogue.cineca.it/docente/3313/2023,90489,761918,,,,,,,,
unimi,,BIO/03,MOUNTAIN BIODIVERSITY CONSERVATION AND PROTECTED AREAS,Corlatti Luca,https://www.unimi.it/it/ugov/person/luca-corlatti,90782,1109635,,,,,,,,
unimi,,BIO/02,ARCHEOBOTANICA,Speciale Claudia,https://www.unimi.it/it/ugov/rubrica/person0000170862,90790,862277,,,,,,,,
uniroma1,,BIO/02,LABORATORIO DI MUSEOLOGIA: CATALOGAZIONE E MULTIMEDIALITA',Simona Turco,,91118,809863,,,,,,,,
uniupo,,BIO/01,INTERAZIONI PIANTE-AMBIENTE,Massa Nadia,https://upobook.uniupo.it/personale/001298,91343,763227,,,,,,,,
unive,,BIO/02,PIANIFICAZIONE E PROGETTAZIONE ECOLOGICA DEL TERRITORIO,Filesi Leonardo,https://www.unive.it/data/persone/28510832,91576,736690,,,,,,,,
unina,,BIO/02,TECNICHE MOLECOLARI NELLA SISTEMATICA E FILOGENESI VEGETALE,Olga De Castro,https://www.docenti.unina.it/#!/professor/4f4c474144452043415354524f4443534c474f3731453431463833394b/riferimenti,92241,946820,,,,,,,,
unige,,BIO/03,"RILEVAMENTO, CARTOGRAFIA E MONITORAGGIO DELLA VEGETAZIONE",Chiara Vallese,https://rubrica.unige.it/personale/UkFFX11q,95509,962389,,,,,,,,
unipd,,BIO/03,PLANT HUMAN ENVIRONMENT INTERACTIONS (C.I.),Roberto Cazzolla Gatti,https://didattica.unipd.it/off/docente/C47667D134C7DB74A8659341B19D28E1,95729,979529,,,,,,,,
unipd,,BIO/01,PLANT HUMAN ENVIRONMENT INTERACTIONS (C.I.),Stefano Del Duca,https://didattica.unipd.it/off/docente/043E1E2E7FA5FF1CBF0163DFFBB38F12,95730,979530,,,,,,,,
polito,,BIO/03,BOTANICA AMBIENTALE E APPLICATA,Lonati Michele,https://didattica.polito.it/pls/portal30/sviluppo.scheda_pers_swas.show?m=99516,95815,989845,,,,,,,,
unisi,,BIO/03,BIODIVERSITA' E QUALITA' AMBIENTALE,Fanfarillo Emanuele,https://www.unisi.it/ugov/person/170623,95942,1005544,,,,,,,,
unipr,,BIO/01,BIOLOGIA ANIMALE E VEGETALE,Tiziano Travain,https://personale.unipr.it/it/ugovdocenti/person/110281,96348,1027005,,,,,,,,
uniroma3,,BIO/03,BIOLOGIA VEGETALE DEI BENI CULTURALI,Bartoli Flavia,https://www.uniroma3.it/persone/SUZDUlFjM3RrSllqdEV0bDdjRFpvaEVSRzNxZk1zTVFwUWNzckgza2dnYz0=,96725,1050024,,,,,,,,
unito,,BIO/03,BOTANICA AMBIENTALE E APPLICATA ALL'AMBIENTE MONTANO,Barni Elena,,97671,1087965,,,,,,,,
unito,,BIO/01,BOTANICA GENERALE ED ECOFISIOLOGIA VEGETALE NEGLI AMBIENTI D'ALTA QUOTA,Giovannetti Marco,,97672,1087967,,,,,,,,
unito,,BIO/01,BIOLOGIA DELLE SIMBIOSI,Valentina Fiorilli,https://naturali.campusnet.unito.it/do/docenti.pl/Show?_id=vfiorill,97728,1090466,,,,,,,,
unito,,BIO/02,CONSERVAZIONE DELLA BIODIVERSITA',Anna Poli,https://naturali.campusnet.unito.it/do/docenti.pl/Show?_id=apoli,97729,1090471,,,,,,,,
unimi,,BIO/01,EVOLUZIONE E ADATTAMENTI DELLE PIANTE ALL'AMBIENTE,Miranda Mendes Marta Adelina,https://www.unimi.it/it/ugov/person/marta-mendes,98064,1111129,,,,,,,,
uniroma1,,BIO/02,PLANT BIOLOGY FOR CULTURAL HERITAGE,Ilaria Serafini,https://www.uniroma1.it/user/25341,98404,1145344,,,,,,,,
unipd,,BIO/01,BIOLOGIA,Silvia Farinati,https://didattica.unipd.it/off/docente/4A2F427BA30894CBCEC6DFBBCE8F3D7B,98785,974104,,,,,,,,
